_id,id,description,company,deleted,deletedAt,updatedAt,createdAt,__v
65e723c0d3ddf3ae55b11541,338,BR000338 - COLLABORATIONS SERVICES-INFRASTRUTURE RU,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11542,339,BR000339 - HELPDESK-INFRASTRUCTURE RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11543,340,BR000340 - SITE MOBILIZATION TEAM-INFRASTRUCTURE RU,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11544,341,"BR000341 - POS, PAYMENT HARDWARE&PRINTERS-INFRASTRU",5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11545,342,BR000342 - ON SITE NETWORK&TELECOMMUNICATIONS-INFRA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11546,343,BR000343 - MEDICINA DO TRABALHO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11547,344,BR000344 - HS E-SOCIAL,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11548,345,BR000345 - SAP E SISTEMAS FINANCEIROS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11549,346,BR000346 - MEDICINA OCUPACIONAL,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1154a,347,BR000347 - DATACENTER/CLOUD-INFRASTRUCTURE BUILD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1154b,348,BR000348 - NETWORD-INFRASTRUCTURE BUILD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1154c,349,BR000349 - DIGITAL WORKPLACE-INFRASTRUCTURE BUILD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1154d,350,BR000350 - GOV. PMO COMPLIANCE-O.RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1154e,351,BR000351 - GESTAO DE CONTRATO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1154f,352,BR000352 - ADMINISTRACAO DE PESSOAL MG,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11550,353,BR000353 - ON-SITE INFRASTRUCTURE-INFRASTRUCTURE BU,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11551,354,BR000354 - IT FINANCE-APPLICATION RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11552,355,BR000355 - IT SUPPLY CHAIN-L&S-APPLICATION RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11553,356,"BR000356 - IT HR, PAYROLL, WORKFORCE - APPLICATION",5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11554,357,BR000357 - IT SUPPLY CHAIN -AP RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11555,358,BR000358 - IT FINANCE - L&S-AP RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11556,359,BR000359 - IT4IT-APPLICATION RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11557,360,BR000360 - IT-OTHER CORPORATE/MISC-APPLICATION RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11558,361,BR000361 - FM-APPLICATION RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11559,362,BR000362 - RETAIL INCLUDING B2C AND POS-APPLICATION,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1155a,363,BR000363 - CRM-APPLICATION RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1155b,364,BR000364 - SALES AND MARKETING TOOLS-APPLICATION RU,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1155c,365,BR000365 - GLOBAL DATA SERVICES-APPLICATION RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1155d,366,BR000366 - GLOBAL INTEGRATION SERVICES-APPLICATION,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1155e,367,BR000367 - APPLICATIONS OTHER-APPLICATION RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1155f,368,BR000368 - ENABLING SERVICES-APPLICATION BUILD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11560,369,BR000369 - DELIVERING SERVICES-APPLICATION BUILD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11561,370,BR000370 - SELLING&MARKETING SERVICES-APPLICATION B,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11562,371,BR000371 - TESOURARIA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11563,372,BR000372 - FATURAMENTO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11564,373,BR000373 - PAYMENTS MANAGEMENT-P2P,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11565,374,BR000374 - COBRANCA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11566,375,BR000375 - DATA-APPLICATION BUILD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11567,376,BR000376 - INTEGRATION-APPLICATION BUILD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11568,377,BR000377 - CADASTRO E ATUAL DE PRECOS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11569,378,BR000378 - JUROS E ANTECIPACÕES,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1156a,379,BR000379 - SECURITY L&S-SECURITY RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1156b,380,BR000380 - SECURITY-SECURITY BUILD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1156c,381,BR000381 - ENTERPRISE ARCHITECTURE-OTHER RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1156d,382,BR000382 - ADMINISTRACAO DE PESSOAL MANAUS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1156e,383,BR000383 - ADMINISTRACAO DE PESSOAL RS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1156f,384,"BR000384 - GOVERNANCE, PMO&COMPLIANCE-OTHER BUILD",5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11570,385,BR000385 - ENTERPRISE ARCHITECTURE-OTHER BUILD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11571,386,BR000386 - IS&T INNOVATION INITIATIVES-OTHER BUILD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11572,387,BR000387 - O2C GESTAO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11573,388,BR000388 - INVOICE PROCESSING - P2P,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11574,392,BR000392 - ADMINISTRACAO DE PESSOAL NE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11575,393,BR000393 - E SOCIAL,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11576,401,BR000401 - AÇÕES TRABALHISTAS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11577,402,BR000402 - PREVIDÊNCIA PRIVADA S.O.,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11578,409,BR000409 - CONTROLADORIA SO,5df7d4b2a5161d3a0e587dc9,,,,,
